"RT @CBSSportsNet: ""[Joel Embiid] was dreadful...Embiid texted [Coach Brown] at 6:20 in the morning to say he was sick. Nah. I don't want to…",0,5
"Kris Evans is a three-sport athlete at Union Christian Academy who boasts a 3.78 grade point average.

He’s always trying to better himself and his community, for that he has been awarded the Athlete of the Month Award. (@USMarineCorps) https://t.co/MJyel7xgDx",5,2
"RT @picksixpod: Is Daniel Jones set up to fail?
@ryanwilsonCBS thinks so. https://t.co/mXGEWOcWj7",0,10
"RT @CBSSportsHQ: CRAZY BUT TRUE: Seth Curry has a higher career three-point FG percentage than his brother Steph.

-

NBA Career Leaders in…",0,760
"RT @GOLFonCBS: Let it out, Max! 

Max Homa captures his first @PGATOUR victory by winning the @WellsFargoGolf title. https://t.co/rMOv30eQkE",0,10
"RT @GOLFonCBS: “The difference is my focus is more on my mental game than my actual golf.” 

The leader, Max Homa, spoke with @Amanda_Balio…",0,3
RT @GOLFonCBS: Joel Dahmen was VERY excited when he found the fairway on the 12th hole. https://t.co/5OJJWyAQ2j,0,1
"RT @GOLFonCBS: HOW did Justin Rose get on the green from here?? 

https://t.co/HW7ckkIZXo",0,9
"RT @GOLFonCBS: It's a stacked leaderboard at the Final Round of the @WellsFargoGolf Championship! 

We're ready for an exciting Sunday on C…",0,2
"RT @ArnoldSports: Watch Today: Road To The Arnold on @CBS from 1-2pm. Arnold Strongman Classic Preview. Event coverage next Sunday, May 12.…",0,5
"RT @CBSSportsNet: It's Championship Sunday for @PL_MLAX! 

@ArmyWP_MLax and @LehighLacrosse meet for the title right now on CBS Sports Netw…",0,3
RT @StateofCombat: Canelo Alvarez scores a unanimous decision win over Daniel Jacobs to unify the middleweight titles. More from @BCampbell…,0,5
RT @BCampbellCBS: 114-114 on my scorecard. Both fighters made adjustments. Good ebbs and flow. The scorecards are going to be a mess. So ma…,0,18
RT @BCampbellCBS: I've got it 95-95 entering the championship rounds of a fun fight. Hell of a momentum shift from Jacobs. Good adjustments…,0,9
RT @BCampbellCBS: Big left hand in R9 rocks Canelo. I've got it 86-85 for Alvarez through 9 in a tense chess match. #CaneloJacobs,0,6
"IT'S GOING DOWN💥

Full #CaneloJacobs coverage, including round-by-round scores and live updates: 

https://t.co/QQoOTQB3D8",18,2
that feeling when you survive the Warriors https://t.co/2PZo5f2uX1,142,20
RT @StateofCombat: Follow along with @BCampbellCBS as he takes you through #CaneloJacobs from ringside in Las Vegas with live updates and r…,0,6
RT @StateofCombat: Still time to check out @BCampbellCBS preview tonight's festivities from Las Vegas with #CaneloJacobs. He may have made…,0,5
M̶A̶X̶I̶M̶U̶M̶ ̶S̶E̶C̶U̶R̶I̶T̶Y̶ COUNTRY HOUSE HAS WON THE KENTUCKY DERBY https://t.co/mduWo2OhC5,781,293
OR NOT https://t.co/CodPOqPOi9,5895,875
RT if everyone around you has suddenly become a Horse Racing rules expert,1110,482
