"""We’ve seen Steph, a pure finesse player, when you start to get physical with him he starts checking his physical gauges… Steph looks affected and I think we have a reason for being concerned.""

@MarcellusWiley explains why he’s worried about Curry’s performance this playoffs https://t.co/3dE8SWaI2S",25,7
"""As Kevin Durant’s pursuit of LeBron James has amped up, he doesn’t bend to the Golden State system as much as he used to. Now it’s the Kevin Durant system bending to Golden State and that’s not good for Steph Curry."" —@WhitlockJason https://t.co/7Ogye0CHtv",18,5
RT @PBConFOX: 2 Belts. 12 Rounds. 1 Unified Super Welterweight World Champion. https://t.co/mSIE3L9JZj,0,33
"RT @FOXSportsPR: ""The opportunity to work for @VinceMcMahon, to build another football league, to take that spring space and make this one…",0,70
"""Joel Embiid's reality is he didn't play for 2 years because he was hurt. He needs 6 treatments a game because he's always hurt and he's got a bad diet and he's always hurt... He's a liability to the franchise.""  —@ColinCowherd https://t.co/r08d5xftT8",160,28
Martin tames the Monster Mile on a Monday! Truex Jr. WINS in Dover. https://t.co/nC61P7uaGe,124,29
"""Everybody's talking about Kawhi Leonard being the 2nd best player in the NBA to Kevin Durant. He's not that valuable... He doesn't communicate, he doesn't pass, he doesn't elevate others."" —@ColinCowherd https://t.co/TmpeO0a70H",107,15
"RT @FOXSoccer: 32 days until the FIFA Women's World Cup!

Moment 3️⃣2️⃣: Four years ago, Colombia stunned France for one of the biggest ups…",0,36
"""Steph Curry got in Kevin Durant's way. It looked like he was getting a little threatened by what Kevin Durant was doing. ... Have you ever seen MVP-like performances from Steph in the postseason? He has 3 rings, and how many MVPs in the Finals? How about 0."" — @RealSkipBayless https://t.co/RLtZP96GYn",144,37
"""Kawhi 'Sho'nuff' Leonard ... 39-14-5. In this series, he's averaging 38 points, 9 rebounds, on 62%. That's very LeBron James-esque, and he's shooting 46% from the three. They could've had Joel Embiid, they could've had Joel Osteen, they weren't beating that guy."" —@ShannonSharpe https://t.co/GTviOluj8o",423,76
"RT @NASCARONFOX: Boogity x 3! Retweet if you're pumped up for Monday racing in Dover.

#NASCARonFS1 https://t.co/koGUVrQXJS",0,113
"RT @joelklatt: Such an exciting deal for @FOXSports 

Who doesn’t love more Football?? https://t.co/N3tdeLlBDu",0,60
"Football in February! 

@XFL2020 is coming to FOX Sports and FS1! https://t.co/uXgu59a2kq",240,119
"RT @xfl2020: The #XFL has four new homes.

Announcing our #XFL2020 broadcast partners:

@ABCNetwork, @ESPN, @FoxSports &amp; @FS1 📺

More info…",0,1357
"RT @FOXSportsPR: Adding to its unrivaled football portfolio, FOX Sports announces a multi-year deal with the XFL to televise weekly games o…",0,150
"RT @FOXSoccer: 33 days until the FIFA Women's World Cup!

Moment No. 3️⃣3️⃣: This picture-perfect curler from Australia's Ellyse Perry in 2…",0,25
"Could Embiid be better than Shaq? 🤔🤔

@Chris_Broussard x @jasonrmcintyre knock it down: https://t.co/ETmdutgFOJ",60,20
"CAPTAIN AMERICA 💪🇺🇸 

What a run and finish by Christian Pulisic 🔥

https://t.co/wLINcTAEq9",112,15
"RT @FS1: It's been over 24 hours since it was 'Dame Time', so now we have to ask - Is Damian Lillard a top-10 player in the NBA? 🤔

@RicBuc…",0,8
"""Kawhi needs some help. We've heard about Playoff Rondo and Playoff Kyrie. There's a Playoff Lowry, and it ain't good. Year after year, he doesn't get it done in the playoffs and that's killing them. They're making it real easy for Kawhi to walk out the door."" — @Chris_Broussard https://t.co/ZrSGShD6FE",256,51
"RT @CBBonFOX: 1. Knicks - Zion Williamson
2. Cavs - RJ Barrett
3. Suns - Ja Morant
4. Bulls - Darius Garland

Check out the rest of @jasonr…",0,46
"""A lot of smart guys in sports (Kobe, Russell Wilson, Aaron Rodgers, LeBron) there's this equation that lives in their head you don't pay me you don't respect me &amp; with Brady... it's not a thing... This is the PED of the Patriots. The performance enhancing deal."" —@ColinCowherd https://t.co/hPFadrP3oF",60,12
"""I’m not going to be mean here Toronto but let’s be honest, Kawhi Leonard is leaving. This is your entertainment reality… It used to be the LeBron meteor that made you extinct. This year it’s going to be Philadelphia.""

@ColinCowherd explains why the 76ers will beat the Raptors https://t.co/AdjFWdmtCS",39,8
"""The only reason Ty Lue hasn't already been hired as the coach is because the Lakers are foolishly paralyzed by this fear of the optics of it. That's idiotic, you hire the best person for the job and it looks good if they succeed."" — @getnickwright https://t.co/mtCeCi6UBb",33,7
"RT @FOXSoccer: 35 days until the FIFA Women's World Cup! 

Moment No. 3️⃣5️⃣: @alexmorgan13's first career WWC goal in the USWNT's 2011 sem…",0,115
"RT @FOXSoccer: Watch out, world. 🇺🇸🇺🇸🇺🇸

https://t.co/QaItOOyHI9",0,38
"""Philadelphia has a chance to be incredible, or they have a chance to be OKC and just pick the wrong guys.""

@ColinCowherd with a warning for the Sixers https://t.co/uNkl8LG32p",97,15
"""There's a better chance at mediocrity than stardom for Kyler Murray, Daniel Jones &amp; Dwayne Haskins."" —@WhitlockJason https://t.co/6IshOEoNg5",19,6
"""Kyrie Irving, a 19-year-old, Kevin Durant and Emmanuel Mudiay... that's not winning a second playoff series in the East, and I'm not sure it's winning a playoff series in the West.""

@ColinCowherd on why Kevin Durant should think hard about going to join the Knicks https://t.co/zY12pWeeow",97,18
"Are the Philly fans right to already be booing Bryce Harper?

@TheBigHurt_35 gives his take: https://t.co/cwLsNew5mr",205,43
"Regular season MVPs: 4-1, 'Bron
All-NBA First Team: 12-6, 'Bron
First Team All-Defense: 5-0, 'Bron

Since LeBron has entered the NBA, he's led his team in scoring and assists all 16 years. Kevin Durant has never led his team in assists in his long-legged life.

via @ShannonSharpe https://t.co/NzC3iI3jfJ",4612,1766
"The final roster is out! 🇺🇸 

Here are the @USWNT's 23 that will look to defend the FIFA Women's World Cup next month. 🌍🏆 https://t.co/WPKT0Bn0ea",596,158
"I'm tired of people equating LeBron going to Miami with KD going to Golden State. They're trying to compare a speeding ticket to armed robbery. Before LeBron arrived, Miami went out in the 1st round. Before KD arrived, Golden State lost Game 7 of the Finals.

via @ShannonSharpe https://t.co/cabtZ7l5jl",1248,409
"""Stephen Jones is keeping the value of the position in mind… It’s easier to find a stud at running back than it is to find a stud at quarterback. When you find someone, who looks like they can play at the quarterback position, you’ve got to marry them."" —@MarcellusWiley https://t.co/BQfZ3LW54M",16,3
"""James Harden is hunting sympathy more than championships in this series."" —@WhitlockJason https://t.co/vGiQi8ZtkL",75,16
"🐐 ERA!

Four days after Cristiano Ronaldo scored his 600th club goal, Messi pulls level. https://t.co/3h9FLb6Sdq",2050,498
"RT @FOXSoccer: What. A. Performance. 

Messi's 2nd-half brace puts Barcelona in complete control of the tie! https://t.co/Uv20sfT47o",0,423
"""I'm going to bet that Kyrie Irving does not have another stinker like last night, over Khris Middleton having 3 more games like last night.""

@ColinCowherd on the remainder of the Bucks/Celtics series https://t.co/TEvenzJ9xq",136,31
"RT @FOXSoccer: THIS MAN IS UNREAL!!

Lionel Messi hits a PERFECT free kick for his 600th career club goal. 🐐 https://t.co/AM0lMDDkPg",0,1057
"""Kevin Durant is the best basketball player in the world, and playing his best basketball now.""

@ColinCowherd on the Warriors forward https://t.co/TgtiGG8YhV",109,22
"""We've known for 2 years now that Kevin Durant has eclipsed LeBron James as the best player on the planet. Did he not show you again last night? He's taken it up to a level nobody has ever seen before. LeBron James has never known this level."" — @RealSkipBayless https://t.co/6DOpnyTbmn",132,26
"RT @FOXSoccer: Broken nose, don't care. 

Christine Sinclair's gutsy performance in 2011 is Moment No. 3️⃣7️⃣ in our FIFA Women's World Cup…",0,82
"""This is shocking to me.""

@criscarter80 reacts to reports that Linda Rambis is acting as a ""shadow owner"" of the Lakers https://t.co/1KaY0vNL0B",53,9
"""If the Rockets are going to have a chance, here is one guy that has to play like his name, his reputation and his contract demands -- and that's Chris Paul."" — @getnickwright https://t.co/xqs580LGrf",70,15
The exciting final lap from Talladega Superspeedway ... in Spanish. https://t.co/Cm8m9MEbaR,129,23
"""Kevin Durant played in an era where there was someone more physically gifted than him, Michael Jordan didn't. Magic Johnson and Larry Bird were not his equal in talent.""

@WhitlockJason makes an argument for KD potentially challenging Jordan as the GOAT https://t.co/OIRrfu6J6g",78,31
